num_training_pairs,n_other,n_self,cutoff_word_global_lm,k_other,k_self,lambda_local,fscore
5,2,2,7,0.7201751135000012,1.0,0.45,0.8686807659487498
5,2,2,7,0.7201751135000012,1.0,0.25,0.8678831331170906
5,2,2,7,0.7201751135000012,1.0,0.4,0.8677720363386904
5,2,2,7,0.7201751135000012,1.0,0.3,0.8675794904299413
5,2,2,6,0.7201751135000012,1.0,0.25,0.8672695718770418
5,2,2,7,0.7201751135000012,1.0,0.35,0.8671451751322354
5,2,2,3,0.7201751135000012,1.0,0.5,0.8668996239308114
5,2,2,7,0.7201751135000012,1.0,0.5,0.8668659598736064
5,2,2,6,0.7201751135000012,1.0,0.2,0.8665345637120846
5,2,2,6,0.7201751135000012,1.0,0.3,0.8664674142951841
5,2,2,3,0.7201751135000012,1.0,0.55,0.8662860936446152
5,2,2,10,0.7201751135000012,1.0,0.3,0.8662131237852108
5,2,2,3,0.7201751135000012,1.0,0.45,0.8661062402633141
5,2,2,6,0.7201751135000012,1.0,0.45,0.8660397300521528
5,2,2,8,0.7201751135000012,1.0,0.3,0.8659572720161849
5,2,2,7,0.7201751135000012,1.0,0.2,0.8659243428281683
5,2,2,9,0.7201751135000012,1.0,0.5,0.8658651712024567
5,2,2,10,0.7201751135000012,1.0,0.5,0.8658492830360718
5,2,2,8,0.7201751135000012,1.0,0.25,0.8658433812887366
5,2,2,8,0.7201751135000012,1.0,0.45,0.8657884394230118
5,2,2,8,0.7201751135000012,1.0,0.4,0.8657640936994103
5,2,2,9,0.7201751135000012,1.0,0.25,0.8657426464085136
5,2,2,10,0.7201751135000012,1.0,0.45,0.8657397079026827
5,2,2,9,0.7201751135000012,1.0,0.45,0.8656860867491208
5,2,2,3,0.7201751135000012,1.0,0.6,0.8656367429952645
5,2,2,5,0.7201751135000012,1.0,0.5,0.8655259325041299
5,2,2,9,0.7201751135000012,1.0,0.4,0.865505450372398
5,2,2,8,0.7201751135000012,1.0,0.6,0.8654857025485884
5,2,2,10,0.7201751135000012,1.0,0.4,0.8654331586871161
5,2,2,3,0.7201751135000012,1.0,0.25,0.8654040804087751
5,2,2,7,0.7201751135000012,1.0,0.55,0.86538005637838
5,2,2,10,0.7201751135000012,1.0,0.55,0.8653764956701091
5,2,2,10,0.7201751135000012,1.0,0.2,0.865372379797917
5,2,2,3,0.7201751135000012,1.0,0.35,0.8653528041371057
5,2,2,3,0.7201751135000012,1.0,0.3,0.8652674245719646
5,2,2,9,0.7201751135000012,1.0,0.3,0.8652336299414426
5,2,2,5,0.7201751135000012,1.0,0.25,0.8651827602945877
5,2,2,5,0.7201751135000012,1.0,0.45,0.8650972455248641
5,2,2,10,0.7201751135000012,1.0,0.25,0.8650959120327135
5,2,2,3,0.7201751135000012,1.0,0.65,0.8650900855531007
5,2,2,2,0.7201751135000012,1.0,0.45,0.8650730737323041
5,2,2,5,0.7201751135000012,1.0,0.15,0.8650529914179642
5,2,2,8,0.7201751135000012,1.0,0.55,0.8649782820157369
5,2,2,4,0.7201751135000012,1.0,0.25,0.86497408188594
5,2,2,10,0.7201751135000012,1.0,0.35,0.864936913787763
5,2,2,8,0.7201751135000012,1.0,0.35,0.8649179207319582
5,2,2,8,0.7201751135000012,1.0,0.5,0.8648744959746401
5,2,2,3,0.7201751135000012,1.0,0.2,0.8648530022133948
5,2,2,6,0.7201751135000012,1.0,0.35,0.8647347330319922
5,2,2,1,0.7201751135000012,1.0,0.5,0.864675093714591
5,2,2,10,0.7201751135000012,1.0,0.15,0.8644685469164635
5,2,2,9,0.7201751135000012,1.0,0.2,0.864459315764425
5,2,2,3,0.7201751135000012,1.0,0.4,0.8644483499057325
5,2,2,4,0.7201751135000012,1.0,0.2,0.8644167540923887
5,2,2,5,0.7201751135000012,1.0,0.3,0.8643961837386746
5,2,2,5,0.7201751135000012,1.0,0.2,0.8643941725132572
5,2,2,10,0.7201751135000012,1.0,0.6,0.8643829165574968
5,2,2,9,0.7201751135000012,1.0,0.35,0.8643696864141747
5,2,2,1,0.7201751135000012,1.0,0.45,0.8643665767678856
5,2,2,5,0.7201751135000012,1.0,0.4,0.8642714041780278
5,2,2,2,0.7201751135000012,1.0,0.5,0.8642585252694651
5,2,2,5,0.7201751135000012,1.0,0.35,0.8641296653983707
5,2,2,6,0.7201751135000012,1.0,0.15,0.8640159773601283
5,2,2,8,0.7201751135000012,1.0,0.2,0.8639493209914578
5,2,2,1,0.7201751135000012,1.0,0.6,0.8639442073525727
5,2,2,1,0.7201751135000012,1.0,0.55,0.863941391094511
5,2,2,8,0.7201751135000012,1.0,0.15,0.8639344969142169
5,2,2,6,0.7201751135000012,1.0,0.4,0.8638829843549665
5,2,2,1,0.7201751135000012,1.0,0.4,0.863801188604935
5,2,2,2,0.7201751135000012,1.0,0.4,0.8637951853764246
5,2,2,2,0.7201751135000012,1.0,0.35,0.8637938908310713
5,2,2,1,0.7201751135000012,1.0,0.35,0.8637042788381796
5,2,2,4,0.7201751135000012,1.0,0.4,0.863553947857943
5,2,2,9,0.7201751135000012,1.0,0.15,0.8634968929340979
5,2,2,6,0.7201751135000012,1.0,0.5,0.8634676511677694
5,2,2,3,0.7201751135000012,1.0,0.15,0.863436492189071
5,2,2,4,0.7201751135000012,1.0,0.3,0.8633675654999845
5,2,2,2,0.7201751135000012,1.0,0.2,0.8633621278236594
5,2,2,3,0.7201751135000012,1.0,0.7,0.8633580995577997
5,2,2,7,0.7201751135000012,1.0,0.15,0.8633390176202843
5,2,2,4,0.7201751135000012,1.0,0.1,0.8631135918486856
5,2,2,4,0.7201751135000012,1.0,0.35,0.8630604893733939
5,2,2,4,0.7201751135000012,1.0,0.6,0.8629184572077749
5,2,2,1,0.7201751135000012,1.0,0.3,0.862903332874008
5,2,2,2,0.7201751135000012,1.0,0.3,0.8628639850868339
5,2,2,9,0.7201751135000012,1.0,0.55,0.8627702833506665
5,2,2,5,0.7201751135000012,1.0,0.1,0.8627511642971543
5,2,2,1,0.7201751135000012,1.0,0.15,0.8627369184989971
5,2,2,5,0.7201751135000012,1.0,0.55,0.8627188182664728
5,2,2,2,0.7201751135000012,1.0,0.6,0.8626671486503122
5,2,2,7,0.7201751135000012,1.0,0.6,0.8625492715747782
5,2,2,8,0.7201751135000012,1.0,0.65,0.8624877362899154
5,2,2,10,0.7201751135000012,1.0,0.65,0.8624117155355655
5,2,2,9,0.7201751135000012,1.0,0.6,0.8623924618492396
5,2,2,9,0.7201751135000012,1.0,0.65,0.8623401085375927
5,2,2,3,0.7201751135000012,1.0,0.75,0.8623088643634186
5,2,2,6,0.7201751135000012,1.0,0.7,0.8622456780209519
5,2,2,2,0.7201751135000012,1.0,0.65,0.8622250624321479
5,2,2,2,0.7201751135000012,1.0,0.55,0.8621975964295857
5,2,2,4,0.7201751135000012,1.0,0.7,0.8621104963260828
5,2,2,6,0.7201751135000012,1.0,0.55,0.8620765222813029
5,2,2,4,0.7201751135000012,1.0,0.5,0.8620246416724345
5,2,2,4,0.7201751135000012,1.0,0.15,0.8620228342332629
5,2,2,6,0.7201751135000012,1.0,0.65,0.8619964018277463
5,2,2,1,0.7201751135000012,1.0,0.2,0.8618654494150741
5,2,2,4,0.7201751135000012,1.0,0.65,0.8618367071407658
5,2,2,1,0.7201751135000012,1.0,0.65,0.8618156208969009
5,2,2,2,0.7201751135000012,1.0,0.7,0.8617314154044774
5,2,2,6,0.7201751135000012,1.0,0.1,0.8617145876686516
5,2,2,2,0.7201751135000012,1.0,0.15,0.8616500844283614
5,2,2,2,0.7201751135000012,1.0,0.25,0.8616056344968627
5,2,2,4,0.7201751135000012,1.0,0.9,0.8615368066441658
5,2,2,4,0.7201751135000012,1.0,0.75,0.8614229660687185
5,2,2,4,0.7201751135000012,1.0,0.45,0.8612939915655781
5,2,2,3,0.7201751135000012,1.0,0.8,0.8612652969560479
5,2,2,7,0.7201751135000012,1.0,0.1,0.8612479466853306
5,2,2,10,0.7201751135000012,1.0,0.7,0.8610248489254725
5,2,2,4,0.7201751135000012,1.0,0.85,0.8610156308308954
5,2,2,1,0.7201751135000012,1.0,0.1,0.8609565771427761
5,2,2,2,0.7201751135000012,1.0,0.1,0.8609537519525262
5,2,2,1,0.7201751135000012,1.0,0.25,0.8608799253789591
5,2,2,4,0.7201751135000012,1.0,0.55,0.8608532736233097
5,2,2,9,0.7201751135000012,1.0,0.1,0.8607985177828549
5,2,2,8,0.7201751135000012,1.0,0.1,0.8606643926078118
5,2,2,10,0.7201751135000012,1.0,0.1,0.8606013950754167
5,2,2,6,0.7201751135000012,1.0,0.75,0.8602929520909326
5,2,2,7,0.7201751135000012,1.0,0.65,0.8599905970299042
5,2,2,5,0.7201751135000012,1.0,0.65,0.8598912261551585
5,2,2,2,0.7201751135000012,1.0,0.75,0.8598879795853741
5,2,2,3,0.7201751135000012,1.0,0.1,0.8597237416203782
5,2,2,5,0.7201751135000012,1.0,0.6,0.8597177882688626
5,2,2,4,0.7201751135000012,1.0,0.8,0.8596182838047624
5,2,2,7,0.7201751135000012,1.0,0.7,0.8594928103020483
5,2,2,3,0.7201751135000012,1.0,0.85,0.8593840006519731
5,2,2,5,0.7201751135000012,1.0,0.75,0.8593145741242874
5,2,2,6,0.7201751135000012,1.0,0.6,0.8592766113597473
5,2,2,1,0.7201751135000012,1.0,0.7,0.8589026315201226
5,2,2,8,0.7201751135000012,1.0,0.7,0.8588966619272475
5,2,2,5,0.7201751135000012,1.0,0.8,0.8588241473270948
5,2,2,2,0.7201751135000012,1.0,0.8,0.8586090733853641
5,2,2,5,0.7201751135000012,1.0,0.7,0.8580382037334734
5,2,2,10,0.7201751135000012,1.0,0.75,0.8580215847701688
5,2,2,9,0.7201751135000012,1.0,0.7,0.8577730453020255
5,2,2,5,0.7201751135000012,1.0,0.85,0.8577386176087222
5,2,2,3,0.7201751135000012,1.0,0.95,0.8574271416445006
5,2,2,1,0.7201751135000012,1.0,0.85,0.8572630373629199
5,2,2,6,0.7201751135000012,1.0,0.8,0.8572453285149331
5,2,2,3,0.7201751135000012,1.0,0.9,0.8568628237852239
5,2,2,2,0.7201751135000012,1.0,0.05,0.8568563580609431
5,2,2,1,0.7201751135000012,1.0,0.05,0.8568543399593681
5,2,2,1,0.7201751135000012,1.0,0.9,0.8567134999203992
5,2,2,1,0.7201751135000012,1.0,0.8,0.856698938403065
5,2,2,1,0.7201751135000012,1.0,0.75,0.8566634735927057
5,2,2,7,0.7201751135000012,1.0,0.75,0.8565551725232105
5,2,2,4,0.7201751135000012,1.0,0.95,0.8560683680160855
5,2,2,5,0.7201751135000012,1.0,0.95,0.8559671647409116
5,2,2,6,0.7201751135000012,1.0,0.9,0.8556197720690422
5,2,2,2,0.7201751135000012,1.0,0.85,0.8552368880027367
