n_other,n_self,cutoff_word_global_lm,k_other,k_self,lambda_local,fscore
2,2,9,0.7595863839285723,1.0,0.25,0.8584057599691646
2,2,2,0.7595863839285723,1.0,0.2,0.8580599915958632
2,2,1,0.7595863839285723,1.0,0.2,0.8570371564441326
2,2,9,0.7595863839285723,1.0,0.2,0.8569176373243564
2,2,7,0.7595863839285723,1.0,0.15,0.8553476432303484
2,2,8,0.7595863839285723,1.0,0.25,0.8552309475808565
2,2,10,0.7595863839285723,1.0,0.15,0.8549299464992297
2,2,2,0.7595863839285723,1.0,0.15,0.8548526731316991
2,2,6,0.7595863839285723,1.0,0.15,0.8546430589265451
2,2,6,0.7595863839285723,1.0,0.1,0.8544625072043607
2,2,9,0.7595863839285723,1.0,0.15,0.8541226006393929
2,2,8,0.7595863839285723,1.0,0.2,0.8520517937250282
2,2,4,0.7595863839285723,1.0,0.15,0.8517463344794836
2,2,1,0.7595863839285723,1.0,0.15,0.8513339830725049
2,2,4,0.7595863839285723,1.0,0.1,0.8503202619331504
2,2,5,0.7595863839285723,1.0,0.05,0.8502122851708634
2,2,3,0.7595863839285723,1.0,0.1,0.8493278229823746
2,2,8,0.7595863839285723,1.0,0.15,0.849236928589867
2,2,7,0.7595863839285723,1.0,0.1,0.8483801148000497
2,2,6,0.7595863839285723,1.0,0.05,0.8483480691971567
2,2,9,0.7595863839285723,1.0,0.1,0.8482157593899062
2,2,4,0.7595863839285723,1.0,0.05,0.8479949631722634
2,2,10,0.7595863839285723,1.0,0.1,0.8474929183292303
2,2,1,0.7595863839285723,1.0,0.1,0.8473295974710782
2,2,8,0.7595863839285723,1.0,0.1,0.8468444774432232
2,2,1,0.7595863839285723,1.0,0.05,0.8445575850607027
2,2,2,0.7595863839285723,1.0,0.1,0.8442146442487912
2,2,8,0.7595863839285723,1.0,0.05,0.8441088959530579
2,2,3,0.7595863839285723,1.0,0.05,0.8432103769835936
2,2,2,0.7595863839285723,1.0,0.05,0.8418830355993248
2,2,10,0.7595863839285723,1.0,0.05,0.8417814196461536
2,2,9,0.7595863839285723,1.0,0.05,0.8386629742154668
2,2,7,0.7595863839285723,1.0,0.05,0.8381164239386651
2,2,7,0.7595863839285723,1.0,0.0,0.7979886999386183
2,2,8,0.7595863839285723,1.0,0.0,0.795277292325392
2,2,4,0.7595863839285723,1.0,0.0,0.7944165319608475
2,2,9,0.7595863839285723,1.0,0.0,0.7943314407180229
2,2,10,0.7595863839285723,1.0,0.0,0.791339297223928
2,2,1,0.7595863839285723,1.0,0.0,0.790779222225518
2,2,2,0.7595863839285723,1.0,0.0,0.7893464175085644
2,2,5,0.7595863839285723,1.0,0.0,0.7889514510885739
2,2,3,0.7595863839285723,1.0,0.0,0.7863165639620006
2,2,6,0.7595863839285723,1.0,0.0,0.7856232816493732
