num_pairs,n_other,n_self,cutoff_word_global_lm,k_other,k_self,lambda_local,fscore
1,1,1,7,0.1,0.1,0.1,0.7836480487128183
1,1,1,8,0.2,0.1,0.25,0.7835201455886592
1,1,1,8,0.1,0.1,0.1,0.7827709752598996
1,1,1,6,0.1,0.1,0.1,0.781791357890644
1,1,1,4,0.15,0.1,0.05,0.7815978683259031
1,1,1,8,0.25,0.1,0.3,0.7813486467146026
1,1,1,7,0.1,0.1,0.05,0.7813437722515161
1,1,1,9,0.3,0.1,0.3,0.7812618495988383
1,1,1,8,0.25,0.1,0.25,0.7811318799768108
1,1,1,5,0.1,0.1,0.1,0.7811064364349986
1,1,1,4,0.1,0.1,0.1,0.7809413686366867
1,1,1,3,0.15,0.1,0.05,0.7807621841854863
1,1,1,6,0.15,0.1,0.1,0.7806350026786946
1,1,1,7,0.2,0.1,0.25,0.7802013602936814
1,1,1,8,0.25,0.1,0.2,0.7801023172204492
1,1,1,9,0.1,0.1,0.1,0.7800573035618937
1,1,1,8,0.2,0.1,0.2,0.779926993189788
1,1,1,4,0.1,0.1,0.05,0.7797986643705948
1,1,1,3,0.2,0.1,0.05,0.7795769570294208
1,1,1,8,0.1,0.1,0.05,0.7794774698741713
1,1,1,10,0.1,0.1,0.15,0.7794177933066965
1,1,1,5,0.1,0.1,0.05,0.7793274119273501
1,1,1,4,0.2,0.1,0.1,0.7792878360103047
1,1,1,10,0.05,0.1,0.05,0.7792830932791736
1,1,1,10,0.5,0.1,0.3,0.7790218299180861
1,1,1,10,0.35,0.1,0.3,0.77890280125746
1,1,1,6,0.1,0.1,0.05,0.7786894270034662
1,1,1,5,0.2,0.1,0.1,0.7786752630997044
1,1,1,9,0.3,0.1,0.25,0.7784922019023537
1,1,1,10,0.1,0.1,0.1,0.7783769276475427
1,1,1,9,0.05,0.1,0.1,0.7781348577926391
1,1,1,7,0.2,0.1,0.2,0.7780646228994109
1,1,1,8,0.15,0.1,0.15,0.7780634924489104
1,1,1,7,0.25,0.1,0.25,0.7778765205409507
1,1,1,8,0.15,0.1,0.1,0.7778746644936774
1,1,1,7,0.2,0.1,0.15,0.7778345925865492
1,1,1,9,0.35,0.1,0.25,0.7777500485909625
1,1,1,8,0.2,0.1,0.15,0.7777164772952606
1,1,1,7,0.15,0.1,0.2,0.7776169428820111
1,1,1,5,0.15,0.1,0.1,0.7775982926772231
1,1,1,10,0.55,0.1,0.3,0.777493048371296
1,1,1,10,0.1,0.1,0.05,0.7774898260174516
1,1,1,9,0.15,0.1,0.15,0.7774751752028174
1,1,1,7,0.15,0.1,0.15,0.7773641633813108
1,1,1,7,0.15,0.1,0.1,0.7773235099038731
1,1,1,8,0.3,0.1,0.2,0.7772462245065057
1,1,1,9,0.05,0.1,0.05,0.7770540871039511
1,1,1,2,0.25,0.1,0.1,0.7770443730670836
1,1,1,8,0.05,0.1,0.1,0.776904801364256
1,1,1,7,0.25,0.1,0.2,0.776883913040493
1,1,1,2,0.2,0.1,0.1,0.77686791452966
1,1,1,9,0.5,0.1,0.3,0.7768310896833135
1,1,1,6,0.05,0.1,0.05,0.776740159015916
1,1,1,9,0.1,0.1,0.05,0.7766801704343566
1,1,1,9,0.3,0.1,0.2,0.7766675705935351
1,1,1,8,0.05,0.1,0.05,0.776665631901125
1,1,1,10,0.7,0.1,0.2,0.7764722918834615
1,1,1,10,0.65,0.1,0.2,0.7763740782621441
1,1,1,6,0.2,0.1,0.15,0.7761394740018845
1,1,1,6,0.2,0.1,0.1,0.7761192835944425
1,1,1,5,0.05,0.1,0.05,0.7760308220800332
1,1,1,9,0.75,0.1,0.25,0.7758115405127974
1,1,1,8,0.55,0.1,0.25,0.7758063047719242
1,1,1,2,0.15,0.1,0.1,0.7757308030263316
1,1,1,10,0.45,0.1,0.3,0.7756834067334974
1,1,1,1,0.2,0.1,0.1,0.7756499896762418
1,1,1,7,0.05,0.1,0.05,0.7756386000346703
1,1,1,2,0.35,0.1,0.1,0.7756358027919517
1,1,1,7,0.3,0.1,0.2,0.7755741143575005
1,1,1,10,0.35,0.1,0.25,0.7755630719078545
1,1,1,7,0.25,0.1,0.15,0.7753253236798335
1,1,1,10,0.6,0.1,0.3,0.7752916218583644
1,1,1,5,0.15,0.1,0.05,0.7752386464027463
1,1,1,1,0.25,0.1,0.1,0.7750752057213466
1,1,1,3,0.1,0.1,0.05,0.7750640884548767
1,1,1,9,0.5,0.1,0.25,0.7750380145086694
1,1,1,2,0.25,0.1,0.05,0.7749706961910338
1,1,1,9,0.75,0.1,0.2,0.7749674614285803
1,1,1,5,0.25,0.1,0.1,0.7748677264998404
1,1,1,8,0.4,0.1,0.25,0.774789668065849
1,1,1,6,0.3,0.1,0.15,0.7747675226920654
1,1,1,10,0.5,0.1,0.25,0.774685449851256
1,1,1,6,0.75,0.1,0.25,0.7745590876944007
1,1,1,5,0.3,0.1,0.1,0.7744733672306581
1,1,1,7,0.4,0.1,0.3,0.7744455448342743
1,1,1,6,0.25,0.1,0.2,0.7744414914078525
1,1,1,7,0.4,0.1,0.25,0.7744243691636834
1,1,1,1,0.15,0.1,0.1,0.7743437059478736
1,1,1,7,0.45,0.1,0.3,0.7743332815344568
1,1,1,2,0.15,0.1,0.05,0.7743039407285198
1,1,1,2,0.4,0.1,0.05,0.7742736072157334
1,1,1,8,0.45,0.1,0.25,0.7742431496271432
1,1,1,10,0.45,0.1,0.25,0.7742334332846303
1,1,1,1,0.25,0.1,0.05,0.7742327416557622
1,1,1,7,0.35,0.1,0.2,0.7742268725274304
1,1,1,2,0.3,0.1,0.05,0.7741986522026706
1,1,1,8,0.25,0.1,0.15,0.7741856151863511
1,1,1,10,0.6,0.1,0.25,0.774184566038177
1,1,1,9,0.35,0.1,0.2,0.7741750171691597
1,1,1,9,0.9,0.1,0.25,0.7741146622102005
1,1,1,4,0.05,0.1,0.05,0.7740316138049144
1,1,1,6,0.35,0.1,0.15,0.7740121002505967
1,1,1,9,0.45,0.1,0.2,0.7739617806320814
1,1,1,10,0.75,0.1,0.2,0.7739264777462724
1,1,1,7,0.3,0.1,0.15,0.7738879923068183
1,1,1,2,0.2,0.1,0.05,0.7738708984166834
1,1,1,8,0.35,0.1,0.15,0.773848248053486
1,1,1,6,0.25,0.1,0.15,0.7738252026033913
1,1,1,3,0.25,0.1,0.05,0.7738097336750229
1,1,1,9,0.15,0.1,0.1,0.7736189802970117
1,1,1,7,0.45,0.1,0.25,0.773533501624761
1,1,1,4,0.2,0.1,0.05,0.7735244036131445
1,1,1,3,0.3,0.1,0.1,0.7735181525540008
1,1,1,7,0.2,0.1,0.1,0.7735151212697093
1,1,1,9,0.5,0.1,0.2,0.7734893683606089
1,1,1,4,0.25,0.1,0.1,0.7733728503614266
1,1,1,7,0.55,0.1,0.2,0.7733416548044693
1,1,1,10,0.6,0.1,0.2,0.7733314094238136
1,1,1,7,0.5,0.1,0.25,0.7733179314989419
1,1,1,10,0.55,0.1,0.25,0.773175447231905
1,1,1,1,0.15,0.1,0.05,0.7731748935867839
1,1,1,7,0.4,0.1,0.2,0.7731018745697177
1,1,1,8,0.85,0.1,0.25,0.7730830304619473
1,1,1,10,0.9,0.1,0.25,0.7730348071528378
1,1,1,8,0.4,0.1,0.2,0.7730089199036402
1,1,1,8,0.45,0.1,0.2,0.7729642288481264
1,1,1,6,0.25,0.1,0.1,0.7729313972663758
1,1,1,1,0.3,0.1,0.05,0.7728661241834726
1,1,1,3,0.05,0.1,0.05,0.772760627896431
1,1,1,2,0.1,0.1,0.05,0.7727149352703531
1,1,1,10,0.55,0.1,0.2,0.7727013275921967
1,1,1,10,0.45,0.1,0.2,0.7725268334184882
1,1,1,2,0.35,0.1,0.05,0.7723887795474977
1,1,1,8,0.3,0.1,0.15,0.7723058179614967
1,1,1,1,0.2,0.1,0.05,0.772299760501984
1,1,1,10,0.95,0.1,0.25,0.7722708255549872
1,1,1,10,0.85,0.1,0.2,0.7722217976545915
1,1,1,8,0.85,0.1,0.2,0.7721877374154478
1,1,1,8,0.9,0.1,0.2,0.772119443994626
1,1,1,9,0.5,0.1,0.15,0.7720998693338151
1,1,1,6,0.35,0.1,0.1,0.7720030157694782
1,1,1,9,0.3,0.1,0.15,0.7719832185451034
1,1,1,1,0.35,0.1,0.1,0.7719506651117484
1,1,1,9,0.35,0.1,0.15,0.77192179892068
1,1,1,9,1.0,0.1,0.25,0.7719043142570695
1,1,1,6,0.3,0.1,0.1,0.771903600685894
1,1,1,4,0.3,0.1,0.15,0.7718658109536873
1,1,1,10,0.5,0.1,0.2,0.7718448143024933
1,1,1,6,0.45,0.1,0.25,0.771770664544778
1,1,1,4,0.3,0.1,0.1,0.7717507357086806
1,1,1,8,0.65,0.1,0.05,0.7716771402488174
1,1,1,7,0.3,0.1,0.1,0.7716427627863626
1,1,1,8,0.55,0.1,0.2,0.7715669175365412
1,1,1,8,0.2,0.1,0.1,0.7715565395410966
1,1,1,6,0.8,0.1,0.2,0.7715047273830152
